route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
bcncvv,bcncvv-00:45-20:45:00,bcncvv-00:45-20:45:00,,,esbcn-itcvv,1
cvvbcn,cvvbcn-04:00-24:00:00,cvvbcn-04:00-24:00:00,,,itcvv-esbcn,1
pmocag,pmocag-09:00-22:05:00,pmocag-09:00-22:05:00,,,itpmo-itcag,1
olbliv,olbliv-10:30-19:30:00,olbliv-10:30-19:30:00,,,itliv-itolb,1
livolb,livolb-10:30-18:30:00,livolb-10:30-18:30:00,,,itolb-itliv,1
olbcvv,olbcvv-12:30-18:35:00,olbcvv-12:30-18:35:00,,,itcvv-itolb,1
livolb,livolb-22:30-30:30:00,livolb-22:30-30:30:00,,,itolb-itliv,1
olbliv,olbliv-22:30-31:30:00,olbliv-22:30-31:30:00,,,itliv-itolb,1
napcag,napcag-19:00-32:00:00,napcag-19:00-32:00:00,,,itnap-itcag,1
salcag,salcag-22:00-39:00:00,salcag-22:00-39:00:00,,,itsal-itcag,1
bcncvv,bcncvv-22:15-42:15:00,bcncvv-22:15-42:15:00,,,esbcn-itcvv,1
cvvpto,cvvpto-22:15-29:30:00,cvvpto-22:15-29:30:00,,,itcvv-itpto,1
cvvbcn,cvvbcn-22:15-42:15:00,cvvbcn-22:15-42:15:00,,,itcvv-esbcn,1
ptobcn,ptobcn-06:30-18:45:00,ptobcn-06:30-18:45:00,,,esbcn-itpto,1
cagsal,cagsal-22:00-39:00:00,cagsal-22:00-39:00:00,,,itcag-itsal,1
bcncvv,bcncvv-22:30-42:30:00,bcncvv-22:30-42:30:00,,,esbcn-itcvv,1
bcnpto,bcnpto-22:30-34:45:00,bcnpto-22:30-34:45:00,,,itpto-esbcn,1
ptocvv,ptocvv-11:45-19:00:00,ptocvv-11:45-19:00:00,,,itcvv-itpto,1
pmocag,pmocag-19:00-32:05:00,pmocag-19:00-32:05:00,,,itpmo-itcag,1
cvvbcn,cvvbcn-23:00-43:00:00,cvvbcn-23:00-43:00:00,,,itcvv-esbcn,1
bcncvv,bcncvv-23:00-43:00:00,bcncvv-23:00-43:00:00,,,esbcn-itcvv,1
cvvpto,cvvpto-23:00-30:15:00,cvvpto-23:00-30:15:00,,,itcvv-itpto,1
bcnpto,bcnpto-23:00-35:15:00,bcnpto-23:00-35:15:00,,,itpto-esbcn,1
ptobcn,ptobcn-07:15-19:30:00,ptobcn-07:15-19:30:00,,,esbcn-itpto,1
ptocvv,ptocvv-12:15-19:30:00,ptocvv-12:15-19:30:00,,,itcvv-itpto,1
livolb,livolb-21:30-29:30:00,livolb-21:30-29:30:00,,,itolb-itliv,1
olbliv,olbliv-21:30-30:30:00,olbliv-21:30-30:30:00,,,itliv-itolb,1
bcncvv,bcncvv-23:59-43:59:00,bcncvv-23:59-43:59:00,,,esbcn-itcvv,1
cvvbcn,cvvbcn-23:59-43:59:00,cvvbcn-23:59-43:59:00,,,itcvv-esbcn,1
bcnpto,bcnpto-22:15-34:30:00,bcnpto-22:15-34:30:00,,,itpto-esbcn,1
