trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,source_folder
t1,7:00:00,07:00:00,s1,1,0,0,Rafael Nadal Coaches
t1,7:15:00,07:15:00,s2,2,0,0,Rafael Nadal Coaches
t1,7:45:00,07:45:00,s3,3,0,0,Rafael Nadal Coaches
t2,17:00:00,17:00:00,s1,1,0,0,Rafael Nadal Coaches
t2,17:15:00,17:15:00,s2,2,0,0,Rafael Nadal Coaches
t2,17:45:00,17:45:00,s3,3,0,0,Rafael Nadal Coaches
402,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
402,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
403,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
403,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
404,4:55:00,04:55:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
404,4:45:00,04:45:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
405,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
405,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
406,4:55:00,04:55:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
406,4:45:00,04:45:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
407,0:00:00,00:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
407,0:15:00,00:15:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
408,0:30:00,00:30:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
408,0:15:00,00:15:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
524,4:55:00,04:55:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
524,4:45:00,04:45:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya (Bizkaia Bridge Ferry)
402,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya
402,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya
403,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya
403,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya
404,4:55:00,04:55:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya
404,4:45:00,04:45:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya
405,5:00:00,05:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya
405,5:10:00,05:10:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya
406,4:55:00,04:55:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya
406,4:45:00,04:45:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya
407,0:00:00,00:00:00,puente bizkaia - las arenas,1,0,0,El Transbordador de Vizcaya
407,0:15:00,00:15:00,puente bizkaia - portugalete,2,0,0,El Transbordador de Vizcaya
408,0:30:00,00:30:00,puente bizkaia - las arenas,2,0,0,El Transbordador de Vizcaya
408,0:15:00,00:15:00,puente bizkaia - portugalete,1,0,0,El Transbordador de Vizcaya
